,child_name,same_num_trials,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction,trial_length,lookit_onset,lookit_offset,lookit_trial_length,lookit_trial_length_diff,lookit_onset_diff,lookit_offset_diff,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,Unnamed: 16
1,W7ZXCP,False,6732.0,38081.0,2.0,6732.0,32141.0,y,31349.0,37996.0,81859.00000000001,43863.000000000015,12514.000000000015,31264.0,43778.000000000015,,,,,,,,,,
2,W7ZXCP,False,6732.0,38081.0,3.0,32142.0,33659.0,n,31349.0,87112.00000000001,125051.0,37938.999999999985,6589.999999999985,80380.00000000001,86970.0,,,,,,,,,,
3,W7ZXCP,False,6732.0,38081.0,4.0,33660.0,38081.0,y,31349.0,127603.00000000001,172652.00000000003,45049.000000000015,13700.000000000015,120871.00000000001,134571.00000000003,,,,,,,,,,
4,W7ZXCP,False,38082.0,85502.0,5.0,38082.0,85502.0,y,47420.0,182233.0,213227.0,30994.0,-16426.0,144151.0,127725.0,,,,,,,,,,
6,W7ZXCP,False,90387.0,128897.0,7.0,90387.0,128897.0,y,38510.0,265988.0,298459.0,32471.0,-6039.0,175601.0,169562.0,,,,,,,,,,
7,W7ZXCP,False,128898.0,180542.0,8.0,128898.0,136586.0,y,51644.0,301390.00000000006,346447.0,45056.99999999994,-6587.000000000058,172492.00000000006,165905.0,,,,,,,,,,
8,W7ZXCP,False,128898.0,180542.0,9.0,136587.0,137708.0,n,51644.0,,,,,,,,,,,,,,,,
9,W7ZXCP,False,128898.0,180542.0,10.0,137709.0,147278.0,y,51644.0,,,,,,,,,,,,,,,,
10,W7ZXCP,False,128898.0,180542.0,11.0,147279.0,149951.0,n,51644.0,,,,,,,,,,,,,,,,
11,W7ZXCP,False,128898.0,180542.0,12.0,149952.0,169322.0,y,51644.0,,,,,,,,,,,,,,,,
12,W7ZXCP,False,128898.0,180542.0,13.0,169323.0,170510.0,n,51644.0,,,,,,,,,,,,,,,,
13,W7ZXCP,False,128898.0,180542.0,14.0,170511.0,180542.0,y,51644.0,,,,,,,,,,,,,,,,
15,W7ZXCP,False,185328.0,217304.0,16.0,185328.0,209054.0,y,31976.0,,,,,,,,,,,,,,,,
16,W7ZXCP,False,185328.0,217304.0,17.0,209055.0,215687.0,n,31976.0,,,,,,,,,,,,,,,,
17,W7ZXCP,False,185328.0,217304.0,18.0,215688.0,217304.0,y,31976.0,,,,,,,,,,,,,,,,
18,W7ZXCP,False,217305.0,264461.0,19.0,217305.0,221264.0,y,47156.0,,,,,,,,,,,,,,,,
19,W7ZXCP,False,217305.0,264461.0,20.0,221265.0,223112.0,n,47156.0,,,,,,,,,,,,,,,,
20,W7ZXCP,False,217305.0,264461.0,21.0,223113.0,226181.0,y,47156.0,,,,,,,,,,,,,,,,
21,W7ZXCP,False,217305.0,264461.0,22.0,226182.0,230273.0,n,47156.0,,,,,,,,,,,,,,,,
22,W7ZXCP,False,217305.0,264461.0,23.0,230274.0,231725.0,y,47156.0,,,,,,,,,,,,,,,,
23,W7ZXCP,False,217305.0,264461.0,24.0,231726.0,232616.0,n,47156.0,,,,,,,,,,,,,,,,
24,W7ZXCP,False,217305.0,264461.0,25.0,232617.0,243440.0,y,47156.0,,,,,,,,,,,,,,,,
25,W7ZXCP,False,217305.0,264461.0,26.0,243441.0,254561.0,n,47156.0,,,,,,,,,,,,,,,,
26,W7ZXCP,False,217305.0,264461.0,27.0,254562.0,260468.0,y,47156.0,,,,,,,,,,,,,,,,
27,W7ZXCP,False,217305.0,264461.0,28.0,260469.0,264461.0,n,47156.0,,,,,,,,,,,,,,,,
29,W7ZXCP,False,269016.0,303236.0,30.0,269016.0,281753.0,y,34220.0,,,,,,,,,,,,,,,,
30,W7ZXCP,False,269016.0,303236.0,31.0,281754.0,286802.0,n,34220.0,,,,,,,,,,,,,,,,
31,W7ZXCP,False,269016.0,303236.0,32.0,286803.0,292212.0,y,34220.0,,,,,,,,,,,,,,,,
32,W7ZXCP,False,269016.0,303236.0,33.0,292213.0,296801.0,n,34220.0,,,,,,,,,,,,,,,,
33,W7ZXCP,False,269016.0,303236.0,34.0,296802.0,300266.0,y,34220.0,,,,,,,,,,,,,,,,
34,W7ZXCP,False,269016.0,303236.0,35.0,300267.0,301454.0,n,34220.0,,,,,,,,,,,,,,,,
35,W7ZXCP,False,269016.0,303236.0,36.0,301455.0,303236.0,y,34220.0,,,,,,,,,,,,,,,,
36,W7ZXCP,False,303237.0,350558.0,37.0,303237.0,307460.0,y,47321.0,,,,,,,,,,,,,,,,
37,W7ZXCP,False,303237.0,350558.0,38.0,307461.0,315182.0,n,47321.0,,,,,,,,,,,,,,,,
38,W7ZXCP,False,303237.0,350558.0,39.0,315183.0,319736.0,y,47321.0,,,,,,,,,,,,,,,,
39,W7ZXCP,False,303237.0,350558.0,40.0,319737.0,327458.0,n,47321.0,,,,,,,,,,,,,,,,
40,W7ZXCP,False,303237.0,350558.0,41.0,327459.0,340460.0,y,47321.0,,,,,,,,,,,,,,,,
41,W7ZXCP,False,303237.0,350558.0,42.0,340461.0,343199.0,n,47321.0,,,,,,,,,,,,,,,,
42,W7ZXCP,False,303237.0,350558.0,43.0,343200.0,350558.0,y,47321.0,,,,,,,,,,,,,,,,
